id,onet_code,job_title,sector,12th_stream,primary_riasec,secondary_riasec,core_skills,cached_at
706,19-1031.03,Park Naturalists,Research & Science,Science,S,R,"Speaking, Active Listening, Reading Comprehension, Social Perceptiveness, Writing, Critical Thinking",2026-03-22 08:14:33.984872+00
707,53-6021.00,Parking Attendants,Logistics & Transport,Vocational,R,C,"Speaking, Service Orientation, Active Listening, Social Perceptiveness",2026-03-22 08:14:34.586048+00
708,33-3041.00,Parking Enforcement Workers,Public Safety,Vocational,R,C,"Monitoring, Speaking, Active Listening, Critical Thinking, Social Perceptiveness, Coordination",2026-03-22 08:14:35.180973+00
709,41-2022.00,Parts Salespersons,Sales,Commerce,R,C,"Active Listening, Speaking, Persuasion, Reading Comprehension, Service Orientation, Social Perceptiveness",2026-03-22 08:14:35.773787+00
710,53-6061.00,Passenger Attendants,Logistics & Transport,Vocational,C,S,"Service Orientation, Active Listening, Social Perceptiveness, Speaking, Monitoring, Coordination",2026-03-22 08:14:36.376325+00
711,29-2099.08,Patient Representatives,Healthcare,Science,S,I,"Active Listening, Service Orientation, Social Perceptiveness, Coordination, Reading Comprehension, Speaking",2026-03-22 08:14:36.967307+00
712,51-4062.00,"Patternmakers, Metal and Plastic",Manufacturing,Vocational,R,C,"Operations Monitoring, Operation and Control, Quality Control Analysis, Active Listening, Complex Problem Solving, Critical Thinking",2026-03-22 08:14:37.574069+00
713,51-7032.00,"Patternmakers, Wood",Manufacturing,Vocational,R,A,"Complex Problem Solving, Monitoring, Operation and Control, Operations Monitoring, Reading Comprehension, Active Listening",2026-03-22 08:14:38.168543+00
714,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",Construction,Vocational,R,C,"Operations Monitoring, Operation and Control, Monitoring, Coordination, Critical Thinking, Repairing",2026-03-22 08:14:38.765655+00
715,43-3051.00,Payroll and Timekeeping Clerks,Administration,Commerce,C,E,"Reading Comprehension, Active Listening, Mathematics, Critical Thinking, Speaking, Writing",2026-03-22 08:14:39.35709+00
716,29-1243.00,Pediatric Surgeons,Healthcare,Science,I,S,,2026-03-22 08:14:39.941303+00
717,29-1221.00,"Pediatricians, General",Healthcare,Science,S,I,"Critical Thinking, Judgment and Decision Making, Speaking, Active Listening, Reading Comprehension, Active Learning",2026-03-22 08:14:40.529481+00
718,15-1299.04,Penetration Testers,Technology,Science,I,C,,2026-03-22 08:14:41.128321+00
719,31-1122.00,Personal Care Aides,Healthcare,Science,S,C,"Service Orientation, Social Perceptiveness, Active Listening, Critical Thinking, Monitoring, Coordination",2026-03-22 08:14:41.727945+00
720,39-9099.00,"Personal Care and Service Workers, All Other",Personal Services,Vocational,R,I,,2026-03-22 08:14:42.321109+00
721,13-2052.00,Personal Financial Advisors,Finance,Commerce,E,C,"Active Listening, Reading Comprehension, Speaking, Writing, Critical Thinking, Complex Problem Solving",2026-03-22 08:14:42.913329+00
722,11-9179.00,"Personal Service Managers, All Other",Management,Commerce,R,I,,2026-03-22 08:14:43.510261+00
723,37-2021.00,Pest Control Workers,Maintenance & Repair,Vocational,R,C,"Active Listening, Critical Thinking, Monitoring, Speaking, Writing, Time Management",2026-03-22 08:14:44.104637+00
724,37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",Maintenance & Repair,Vocational,R,C,"Active Listening, Critical Thinking, Speaking, Time Management, Complex Problem Solving, Coordination",2026-03-22 08:14:44.712972+00
725,17-2171.00,Petroleum Engineers,Engineering,Science,R,I,"Critical Thinking, Reading Comprehension, Active Listening, Complex Problem Solving, Judgment and Decision Making, Speaking",2026-03-22 08:14:45.304598+00
726,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",Manufacturing,Vocational,R,C,"Operations Monitoring, Operation and Control, Monitoring, Reading Comprehension, Complex Problem Solving, Speaking",2026-03-22 08:14:45.904545+00
727,29-1051.00,Pharmacists,Healthcare,Science,I,S,"Active Listening, Reading Comprehension, Speaking, Critical Thinking, Monitoring, Writing",2026-03-22 08:14:46.512566+00
728,31-9095.00,Pharmacy Aides,Healthcare,Science,C,E,"Active Listening, Service Orientation, Speaking, Reading Comprehension, Social Perceptiveness, Coordination",2026-03-22 08:14:47.118545+00
729,29-2052.00,Pharmacy Technicians,Healthcare,Science,C,R,"Active Listening, Reading Comprehension, Speaking, Critical Thinking, Active Learning, Complex Problem Solving",2026-03-22 08:14:47.713905+00
730,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",Education,Arts,S,I,"Reading Comprehension, Active Listening, Instructing, Speaking, Critical Thinking, Writing",2026-03-22 08:14:48.320091+00
731,31-9097.00,Phlebotomists,Healthcare,Science,R,C,"Service Orientation, Social Perceptiveness, Active Listening, Speaking, Critical Thinking, Coordination",2026-03-22 08:14:48.924597+00
732,27-4021.00,Photographers,Creative Arts,Arts,R,A,"Active Listening, Speaking, Service Orientation, Active Learning, Complex Problem Solving, Critical Thinking",2026-03-22 08:14:49.523244+00
733,51-9151.00,Photographic Process Workers and Processing Machine Operators,Manufacturing,Vocational,R,C,"Operations Monitoring, Active Listening, Quality Control Analysis, Reading Comprehension, Service Orientation, Speaking",2026-03-22 08:14:50.125601+00
734,17-2199.07,Photonics Engineers,Engineering,Science,R,I,"Critical Thinking, Reading Comprehension, Writing, Active Listening, Active Learning, Mathematics",2026-03-22 08:14:50.715141+00
735,17-3029.08,Photonics Technicians,Engineering,Science,R,C,"Reading Comprehension, Active Listening, Critical Thinking, Operations Monitoring, Quality Control Analysis, Active Learning",2026-03-22 08:14:51.309458+00
736,29-1229.04,Physical Medicine and Rehabilitation Physicians,Healthcare,Science,I,S,"Critical Thinking, Active Listening, Reading Comprehension, Social Perceptiveness, Speaking, Judgment and Decision Making",2026-03-22 08:14:51.920589+00
737,19-2099.00,"Physical Scientists, All Other",Research & Science,Science,R,I,,2026-03-22 08:14:52.522694+00
738,31-2022.00,Physical Therapist Aides,Healthcare,Science,S,R,"Active Listening, Monitoring, Service Orientation, Coordination, Reading Comprehension, Social Perceptiveness",2026-03-22 08:14:53.123006+00
739,31-2021.00,Physical Therapist Assistants,Healthcare,Science,S,R,"Active Listening, Monitoring, Social Perceptiveness, Speaking, Active Learning, Critical Thinking",2026-03-22 08:14:53.722657+00
